point1;point2;point3;time
6.73;2.25;2.75;182465
6.09;2.06;2.33;182669
5.56;1.80;2.14;182873
5.39;2.01;1.62;183077
4.90;1.51;1.55;183281
5.22;1.63;1.62;183485
5.22;1.71;1.59;183689
4.99;1.76;1.51;183894
4.99;1.71;1.56;184098
4.83;1.76;1.44;184302
5.15;1.84;1.51;184506
5.15;2.11;1.23;184710
4.83;2.30;0.98;184914
4.83;2.56;1.23;185118
4.74;2.16;1.59;185322
4.90;2.36;1.92;185526
5.32;1.98;1.51;185731
5.39;2.13;1.10;185935
5.84;2.07;1.08;186139
5.84;2.26;1.48;186343
5.94;2.56;1.41;186547
6.12;2.73;1.63;186752
5.94;2.84;1.63;186956
5.76;2.80;1.48;187160
5.69;2.75;1.63;187364
4.40;2.54;1.84;187568
4.70;2.70;1.81;187772
4.11;2.10;0.71;187976
4.25;1.80;0.58;188180
4.40;1.97;0.50;188384
4.64;2.12;0.76;188589
4.40;2.21;0.86;188793
4.40;2.08;0.91;188997
4.25;2.27;0.89;189201
4.55;2.27;0.78;189405
4.70;2.27;0.81;189609
4.49;2.36;0.72;189813
