Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,arc_length,epsilon,k,nut,p,vtkValidPointMask
783,5.80392,0.500003,0.238437,5.8303,9.95653,0.00391597,-0.00827693,9.95653,7.84695,0.592954,0.2608,0.0103244,1.0342,1
784,5.81394,0.500003,0.238426,5.84027,9.95706,0.00387638,-0.00815919,9.95706,7.85697,0.588645,0.259376,0.0102867,1.02895,1
785,5.82397,0.500003,0.238415,5.85025,9.95755,0.00383737,-0.00804369,9.95756,7.86699,0.58449,0.257994,0.0102498,1.0237,1
786,5.83399,0.500003,0.238404,5.86023,9.95805,0.00379836,-0.0079282,9.95806,7.87702,0.580335,0.256612,0.0102129,1.01845,1
787,5.84401,0.500003,0.238393,5.8702,9.95855,0.00375935,-0.0078127,9.95855,7.88704,0.57618,0.25523,0.0101759,1.01321,1
788,5.85403,0.500003,0.238382,5.88018,9.95904,0.00372042,-0.00770243,9.95905,7.89706,0.572015,0.253841,0.0101387,1.00795,1
789,5.86405,0.500003,0.238371,5.89016,9.95951,0.00368195,-0.00759349,9.95952,7.90708,0.567988,0.25249,0.0101023,1.0027,1
790,5.87407,0.500003,0.238359,5.90013,9.95998,0.00364349,-0.00748456,9.95998,7.9171,0.563961,0.251139,0.0100659,0.99744,1
791,5.8841,0.500003,0.238348,5.91011,9.96045,0.00360502,-0.00737562,9.96045,7.92712,0.559934,0.249788,0.0100295,0.992184,1
792,5.89412,0.500003,0.238337,5.92009,9.96091,0.00356668,-0.0072723,9.96091,7.93715,0.555909,0.248434,0.0099928,0.986919,1
793,5.90414,0.500003,0.238326,5.93006,9.96135,0.00352871,-0.00716951,9.96136,7.94717,0.552005,0.247114,0.00995685,0.98165,1
794,5.91416,0.500003,0.238315,5.94004,9.96179,0.00349073,-0.00706672,9.9618,7.95719,0.548101,0.245793,0.00992091,0.97638,1
795,5.92418,0.500003,0.238304,5.95002,9.96223,0.00345276,-0.00696394,9.96224,7.96721,0.544197,0.244473,0.00988497,0.971111,1
796,5.9342,0.500003,0.238293,5.96,9.96267,0.00341494,-0.00686708,9.96267,7.97723,0.540305,0.243152,0.00984883,0.965829,1
797,5.94422,0.500003,0.238282,5.96997,9.96308,0.00337741,-0.00677007,9.96309,7.98725,0.53652,0.241861,0.00981337,0.960542,1
798,5.95425,0.500003,0.23827,5.97995,9.9635,0.00333988,-0.00667306,9.9635,7.99728,0.532735,0.240571,0.0097779,0.955255,1
799,5.96427,0.500003,0.238259,5.98993,9.96391,0.00330236,-0.00657605,9.96392,8.0073,0.52895,0.23928,0.00974244,0.949968,1
800,5.97429,0.500003,0.238248,5.99991,9.96432,0.00326501,-0.00648523,9.96432,8.01732,0.525188,0.237992,0.00970682,0.944664,1
801,5.98431,0.500003,0.238237,6.00989,9.96471,0.00322789,-0.00639364,9.96471,8.02734,0.521517,0.23673,0.00967183,0.939355,1
802,5.99433,0.500003,0.238226,6.01987,9.9651,0.00319077,-0.00630204,9.9651,8.03736,0.517847,0.235468,0.00963684,0.934047,1
803,6.00435,0.500003,0.238215,6.02984,9.96549,0.00315366,-0.00621045,9.9655,8.04739,0.514176,0.234207,0.00960184,0.928738,1
804,6.01438,0.500003,0.238204,6.03982,9.96587,0.00311675,-0.00612527,9.96587,8.05741,0.510539,0.23295,0.00956674,0.923409,1
805,6.0244,0.500003,0.238192,6.0498,9.96624,0.00308002,-0.00603878,9.96624,8.06743,0.506979,0.231716,0.00953222,0.918075,1
806,6.03442,0.500003,0.238181,6.05978,9.96661,0.00304329,-0.00595229,9.96661,8.07745,0.50342,0.230483,0.00949769,0.912742,1
807,6.04444,0.500003,0.23817,6.06976,9.96698,0.00300656,-0.0058658,9.96698,8.08747,0.49986,0.229249,0.00946317,0.907408,1
808,6.05446,0.500003,0.238159,6.07974,9.96733,0.00297008,-0.0057859,9.96733,8.09749,0.496342,0.228023,0.00942858,0.90205,1
809,6.06448,0.500003,0.238148,6.08972,9.96768,0.00293373,-0.00570421,9.96768,8.10751,0.49289,0.226817,0.00939452,0.89669,1
810,6.07451,0.500003,0.238137,6.0997,9.96803,0.00289737,-0.00562253,9.96803,8.11754,0.489437,0.225612,0.00936046,0.891329,1
811,6.08453,0.500003,0.238126,6.10968,9.96838,0.00286102,-0.00554084,9.96838,8.12756,0.485984,0.224406,0.0093264,0.885968,1
812,6.09455,0.500003,0.238115,6.11966,9.96871,0.00282495,-0.00546589,9.96871,8.13758,0.482582,0.22321,0.00929231,0.88058,1
813,6.10457,0.500003,0.238103,6.12964,9.96904,0.00278897,-0.00538875,9.96904,8.1476,0.479233,0.222031,0.00925871,0.87519,1
814,6.11459,0.500003,0.238092,6.13962,9.96936,0.00275299,-0.00531161,9.96937,8.15762,0.475883,0.220852,0.00922511,0.869801,1
815,6.12461,0.500003,0.238081,6.1496,9.96969,0.00271698,-0.00523644,9.96969,8.16764,0.472506,0.219663,0.0091912,0.864409,1
816,6.13464,0.500003,0.23807,6.15958,9.97,0.00268135,-0.00516417,9.97,8.17767,0.469243,0.218506,0.00915792,0.858991,1
817,6.14466,0.500003,0.238059,6.16956,9.97031,0.00264574,-0.00509132,9.97031,8.18769,0.465994,0.217353,0.00912477,0.853572,1
818,6.15468,0.500003,0.238048,6.17954,9.97062,0.00261013,-0.00501847,9.97062,8.19771,0.462745,0.2162,0.00909162,0.848153,1
819,6.1647,0.500003,0.238037,6.18952,9.97093,0.00257451,-0.00494849,9.97093,8.20773,0.459464,0.215036,0.00905809,0.84273,1
820,6.17472,0.500003,0.238026,6.1995,9.97122,0.00253927,-0.00487972,9.97122,8.21775,0.456311,0.213909,0.00902539,0.837282,1
821,6.18474,0.500003,0.238014,6.20949,9.97151,0.00250404,-0.00481094,9.97151,8.22777,0.453158,0.212782,0.00899269,0.831833,1
822,6.19477,0.500003,0.238003,6.21947,9.9718,0.00246881,-0.00474217,9.9718,8.2378,0.450006,0.211655,0.00895999,0.826385,1
823,6.20479,0.500003,0.237992,6.22945,9.97209,0.0024336,-0.00467654,9.97209,8.24782,0.446831,0.210518,0.00892695,0.82093,1
824,6.21481,0.500003,0.237981,6.23943,9.97237,0.00239876,-0.00461163,9.97237,8.25784,0.443772,0.209416,0.00889469,0.815453,1
